distance,start_from
2475,0
2021,1
2468,1
1515,1
3266,1
309,0
1955,0
2757,1
3266,1
1126,0
687,0
707,0
1522,0
1798,1
2475,1
3266,1
679,0
1524,0
2466,1
2459,1
2474,1
2469,1
2757,1
3266,1
3266,0
3266,0
1815,0
1788,1
1787,1
3266,1
1958,0
2758,1
1517,1
1798,1
2471,1
2471,1
2760,1
3266,1
311,0
1803,0
3266,1
865,0
1797,0
3266,1
707,0
3266,0
684,0
309,0
1409,0
2470,0
2474,1
2763,1
1412,1
