distance,start_from
748,0
782,0
630,0
782,0
768,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
785,0
782,0
782,0
782,0
782,0
780,0
782,0
782,0
782,0
782,0
782,0
782,0
750,0
784,0
782,0
782,0
782,0
782,0
782,0
782,0
784,0
782,0
782,0
782,0
773,0
782,0
782,0
782,0
774,0
782,0
773,0
769,0
782,0
782,0
782,0
717,0
782,0
782,0
774,0
782,0
774,0
777,0
782,0
782,0
782,0
782,0
782,0
774,0
774,0
782,0
782,0
390,0
782,0
782,0
782,0
777,0
782,0
782,0
782,0
782,0
772,0
786,0
782,0
782,0
782,0
769,0
782,0
750,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
769,0
782,0
774,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
774,0
769,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
776,0
782,0
774,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
769,0
774,0
782,0
782,0
629,0
782,0
774,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
778,0
782,0
782,0
782,0
774,0
782,0
782,0
782,0
782,0
782,0
782,0
769,0
781,0
782,0
778,0
318,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
774,0
774,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
782,0
785,0
782,0
782,0
772,0
782,0
782,0
782,0
782,0
782,0
782,0
765,0
782,0
782,0
782,0
782,0
782,0
782,0
774,0
285,0
782,0
782,0
782,0
769,0
